method,edit_success,preservation,preserve_accuracy,logit_drift,preservation_kl,relative_param_change,structural_cost,runtime_s
EWC,1.0,0.5413567244454667,0.5289897463387914,32.86256957495654,2.5635578328812563,0.5133832648948387,31.610259303340204,0.0689409032221967
Euclidean-MSR,1.0,0.680789272542353,0.6618781511982282,18.340236415771802,0.5708848490925178,0.24366141681524892,25.483789289439166,0.0269032000000051
FT,1.0,0.45788188140701364,0.44723300525435694,39.177456537882485,3.1806641982661352,0.6117120914989047,41.163488458704066,0.047631846629580345
L2-SP,1.0,0.5400730622587381,0.5271631826957067,31.653331147299873,2.42387557360861,0.46249576575226253,34.00171830919054,0.06745807581484298
MSR,1.0,0.7178585755604284,0.6961797635864329,16.865710066558137,0.5553028102362144,0.37930279438970266,20.335106093574453,0.02825137625923499
