edit_success,min_target_margin,preservation,preserve_accuracy,logit_drift,preservation_kl,relative_param_change,structural_cost,collateral_changes,dataset,seed,n_edits,method,beta,margin,iterations,runtime_s
1.0,12.864934921264648,0.918367326259613,0.9090909361839294,3.2108516693115234,0.38983944058418274,0.3287135362625122,33.009151458740234,44,digits,7,1,FT,,0.75,22,0.03191251699990971
1.0,11.07291030883789,0.948051929473877,0.9350649118423462,1.4188690185546875,0.19824275374412537,0.19202323257923126,19.15358543395996,28,digits,7,1,L2-SP,,0.75,22,0.05271719899974414
1.0,10.486335754394531,0.9461966753005981,0.929499089717865,1.6409488916397095,0.23856069147586823,0.22934216260910034,18.22577476501465,29,digits,7,1,EWC,,0.75,22,0.045724886000243714
1.0,0.7499995231628418,1.0,0.9758812785148621,0.0017736040754243731,0.00012190747656859457,0.005811761599034071,0.6301392316818237,0,digits,7,1,Euclidean-MSR,,0.75,10,0.01694500799976595
1.0,0.75,1.0,0.9758812785148621,0.0013043618528172374,7.212807395262644e-05,0.007684763520956039,0.44936224818229675,0,digits,7,1,MSR,8.0,0.75,4,0.005126629999722354
1.0,6.9459333419799805,0.7364485859870911,0.7383177280426025,9.262175559997559,1.585216999053955,0.4736039340496063,48.346229553222656,141,digits,7,5,FT,,0.75,22,0.03727099800016731
1.0,6.0582804679870605,0.7775700688362122,0.7775700688362122,7.080241680145264,1.3037042617797852,0.3666354715824127,39.554264068603516,119,digits,7,5,L2-SP,,0.75,22,0.04596477499990215
1.0,6.1524338722229,0.7831775546073914,0.7775700688362122,7.1178812980651855,1.2926347255706787,0.4083559215068817,37.39078140258789,116,digits,7,5,EWC,,0.75,22,0.06635707700024795
1.0,0.75,0.9719626307487488,0.9626168012619019,0.687161922454834,0.051889073103666306,0.08545276522636414,11.318136215209961,15,digits,7,5,Euclidean-MSR,,0.75,7,0.028076682999653713
1.0,0.7500004768371582,0.977570116519928,0.968224287033081,0.6509035229682922,0.04221700131893158,0.11849873512983322,9.678820610046387,12,digits,7,5,MSR,8.0,0.75,8,0.02386512800012497
1.0,4.607367992401123,0.5471698045730591,0.5490565896034241,13.653108596801758,2.6940433979034424,0.5571629405021667,56.422122955322266,240,digits,7,10,FT,,0.75,22,0.040119663999576005
1.0,4.807277679443359,0.5830188393592834,0.5849056839942932,11.773645401000977,2.3437085151672363,0.4523214101791382,49.90597915649414,221,digits,7,10,L2-SP,,0.75,22,0.04185815900018497
1.0,5.034873008728027,0.5830188393592834,0.5849056839942932,11.50719165802002,2.2615230083465576,0.49754711985588074,47.10246658325195,221,digits,7,10,EWC,,0.75,22,0.06322113899977921
1.0,0.7500004768371582,0.8999999761581421,0.8962264060974121,2.207505226135254,0.22001050412654877,0.15043413639068604,19.998886108398438,53,digits,7,10,Euclidean-MSR,,0.75,6,0.07279464600014762
1.0,0.7499995231628418,0.9245283007621765,0.9226415157318115,1.9367605447769165,0.16455261409282684,0.20128318667411804,17.039098739624023,40,digits,7,10,MSR,8.0,0.75,10,0.04566138000018327
1.0,14.40478515625,0.8664193153381348,0.8589981198310852,5.389010429382324,0.9452398419380188,0.3589321970939636,37.21393966674805,72,digits,19,1,FT,,0.75,22,0.03922093299979679
1.0,12.12279987335205,0.9053803086280823,0.8961039185523987,2.910601854324341,0.6265420317649841,0.22656172513961792,21.904937744140625,51,digits,19,1,L2-SP,,0.75,22,0.03911831000004895
1.0,11.523898124694824,0.8923933506011963,0.8849721550941467,3.3150293827056885,0.7074028849601746,0.26235437393188477,20.70043182373047,58,digits,19,1,EWC,,0.75,22,0.04719587999989017
1.0,0.7500009536743164,0.9962894320487976,0.9814471006393433,0.044645458459854126,0.0018090923549607396,0.02258395217359066,2.6798741817474365,2,digits,19,1,Euclidean-MSR,,0.75,3,0.0035295100001349056
1.0,0.7500009536743164,0.9981446862220764,0.9833024144172668,0.03999176621437073,0.0014438295038416982,0.03008752502501011,1.8838425874710083,1,digits,19,1,MSR,8.0,0.75,4,0.004749561000153335
1.0,8.172021865844727,0.5962616801261902,0.5943925380706787,16.322803497314453,3.158423900604248,0.512535572052002,52.700477600097656,216,digits,19,5,FT,,0.75,22,0.036934910000127275
1.0,8.344063758850098,0.641121506690979,0.641121506690979,12.41588020324707,2.758383274078369,0.39476263523101807,43.540069580078125,192,digits,19,5,L2-SP,,0.75,22,0.0456222699999671
1.0,8.38150691986084,0.6336448788642883,0.6317756772041321,12.546711921691895,2.764385938644409,0.44328293204307556,41.12276840209961,196,digits,19,5,EWC,,0.75,22,0.06762904800007163
1.0,0.75,0.9196261763572693,0.9084112048149109,1.4998012781143188,0.14879560470581055,0.1086551696062088,15.408172607421875,43,digits,19,5,Euclidean-MSR,,0.75,4,0.011240445000112231
1.0,0.7500009536743164,0.9476635456085205,0.9383177757263184,1.4618066549301147,0.1167251467704773,0.16043218970298767,11.714678764343262,28,digits,19,5,MSR,8.0,0.75,6,0.016684711000380048
1.0,6.144556522369385,0.5132075548171997,0.5113207697868347,16.956113815307617,3.6621716022491455,0.5354219079017639,55.04056930541992,258,digits,19,10,FT,,0.75,22,0.06931639000003997
1.0,5.879117965698242,0.5547170042991638,0.552830159664154,13.568357467651367,3.197186231613159,0.4303707480430603,47.52264404296875,236,digits,19,10,L2-SP,,0.75,22,0.0886822630000097
1.0,5.565640926361084,0.5584905743598938,0.5566037893295288,13.358818054199219,3.126873016357422,0.4682776629924774,44.48270034790039,234,digits,19,10,EWC,,0.75,22,0.09543798200002129
1.0,0.7500009536743164,0.9018868207931519,0.8886792659759521,2.1052865982055664,0.2291509360074997,0.13370272517204285,18.464706420898438,52,digits,19,10,Euclidean-MSR,,0.75,4,0.02463650800018513
1.0,0.75,0.8962264060974121,0.8867924809455872,2.0586633682250977,0.20569396018981934,0.1846180409193039,14.450618743896484,55,digits,19,10,MSR,8.0,0.75,10,0.04654762399968604
1.0,15.278759956359863,0.7847866415977478,0.7643784880638123,12.139702796936035,2.1659562587738037,0.4977324604988098,48.42402648925781,116,digits,31,1,FT,,0.75,22,0.035487889000251016
1.0,17.650691986083984,0.847866415977478,0.8293135166168213,7.963171005249023,1.706441879272461,0.3268192410469055,33.542179107666016,82,digits,31,1,L2-SP,,0.75,22,0.05428969100012182
1.0,17.42117691040039,0.8348793983459473,0.8089053630828857,8.544780731201172,1.7787433862686157,0.37218305468559265,32.38535690307617,89,digits,31,1,EWC,,0.75,22,0.06591716599996289
1.0,0.75,0.9795918464660645,0.9554731249809265,0.5825662016868591,0.03957314416766167,0.058734189718961716,8.529692649841309,11,digits,31,1,Euclidean-MSR,,0.75,4,0.006588784000086889
1.0,0.7619285583496094,0.9814471006393433,0.9536178112030029,0.5370105504989624,0.035547733306884766,0.08513940125703812,6.4959797859191895,10,digits,31,1,MSR,8.0,0.75,3,0.005151954999746522
1.0,6.831409931182861,0.6168224215507507,0.6130841374397278,15.040946006774902,3.4051828384399414,0.48653581738471985,48.37289810180664,205,digits,31,5,FT,,0.75,22,0.05080273999965357
1.0,6.074737071990967,0.6317756772041321,0.6317756772041321,11.74504566192627,2.9548332691192627,0.38182058930397034,39.896400451660156,197,digits,31,5,L2-SP,,0.75,22,0.05527421400029198
1.0,5.806041717529297,0.6299065351486206,0.6261682510375977,11.783544540405273,2.912227153778076,0.42384395003318787,38.520469665527344,198,digits,31,5,EWC,,0.75,22,0.040374400000018795
1.0,0.7500267028808594,0.945794403553009,0.9308411478996277,1.2934479713439941,0.11451105773448944,0.09703516960144043,12.86540699005127,29,digits,31,5,Euclidean-MSR,,0.75,3,0.008404480999615771
1.0,0.75,0.9570093750953674,0.9401869177818298,1.106091022491455,0.09020671248435974,0.12930165231227875,10.298564910888672,23,digits,31,5,MSR,8.0,0.75,6,0.016905715999655513
1.0,5.11270809173584,0.5905660390853882,0.5811320543289185,15.393850326538086,3.2651944160461426,0.538362979888916,54.676578521728516,217,digits,31,10,FT,,0.75,22,0.040134879000106594
1.0,5.591965198516846,0.6113207340240479,0.5981131792068481,12.445663452148438,2.916239023208618,0.43514153361320496,46.95341873168945,206,digits,31,10,L2-SP,,0.75,22,0.04383937300008256
