method,rho_cost,p_cost,rho_edit_count,p_edit_count
FT,0.2907407553629948,0.2418183873880685,0.606630361240532,0.0076022765960508725
Euclidean-MSR,0.8397122406811303,1.3078366033303632e-05,0.28902108105611135,0.24474139866339
MSR,0.6646002819550283,0.002622812065704707,0.3924883770213018,0.10716563956721369
